,9394/E0.csv,0001/E0.csv,1011/E0.csv,2324/E0.csv,2324/E1.csv,2324/I1.csv,2324/SC0.csv,present_in_n
Date,True,True,True,True,True,True,True,7
AwayTeam,True,True,True,True,True,True,True,7
Div,True,True,True,True,True,True,True,7
FTAG,True,True,True,True,True,True,True,7
FTHG,True,True,True,True,True,True,True,7
FTR,True,True,True,True,True,True,True,7
HomeTeam,True,True,True,True,True,True,True,7
WHH,False,True,True,True,True,True,True,6
HTAG,False,True,True,True,True,True,True,6
WHA,False,True,True,True,True,True,True,6
AC,False,True,True,True,True,True,True,6
HC,False,True,True,True,True,True,True,6
HF,False,True,True,True,True,True,True,6
HS,False,True,True,True,True,True,True,6
HST,False,True,True,True,True,True,True,6
HR,False,True,True,True,True,True,True,6
HTHG,False,True,True,True,True,True,True,6
AR,False,True,True,True,True,True,True,6
AF,False,True,True,True,True,True,True,6
IWH,False,True,True,True,True,True,True,6
HTR,False,True,True,True,True,True,True,6
IWD,False,True,True,True,True,True,True,6
IWA,False,True,True,True,True,True,True,6
WHD,False,True,True,True,True,True,True,6
AS,False,True,True,True,True,True,True,6
AST,False,True,True,True,True,True,True,6
AY,False,True,True,True,True,True,True,6
HY,False,True,True,True,True,True,True,6
Referee,False,True,True,True,True,False,True,5
VCD,False,False,True,True,True,True,True,5
BWH,False,False,True,True,True,True,True,5
BWD,False,False,True,True,True,True,True,5
BWA,False,False,True,True,True,True,True,5
VCH,False,False,True,True,True,True,True,5
B365D,False,False,True,True,True,True,True,5
B365H,False,False,True,True,True,True,True,5
VCA,False,False,True,True,True,True,True,5
B365A,False,False,True,True,True,True,True,5
B365CD,False,False,False,True,True,True,True,4
IWCD,False,False,False,True,True,True,True,4
WHCH,False,False,False,True,True,True,True,4
WHCD,False,False,False,True,True,True,True,4
Avg<2.5,False,False,False,True,True,True,True,4
Avg>2.5,False,False,False,True,True,True,True,4
AvgA,False,False,False,True,True,True,True,4
AvgAHA,False,False,False,True,True,True,True,4
AvgAHH,False,False,False,True,True,True,True,4
AvgC<2.5,False,False,False,True,True,True,True,4
AvgC>2.5,False,False,False,True,True,True,True,4
P>2.5,False,False,False,True,True,True,True,4
PAHA,False,False,False,True,True,True,True,4
AvgCA,False,False,False,True,True,True,True,4
AvgCAHA,False,False,False,True,True,True,True,4
PAHH,False,False,False,True,True,True,True,4
IWCA,False,False,False,True,True,True,True,4
IWCH,False,False,False,True,True,True,True,4
PC>2.5,False,False,False,True,True,True,True,4
MaxAHA,False,False,False,True,True,True,True,4
MaxCAHH,False,False,False,True,True,True,True,4
MaxCAHA,False,False,False,True,True,True,True,4
MaxCA,False,False,False,True,True,True,True,4
MaxC>2.5,False,False,False,True,True,True,True,4
MaxC<2.5,False,False,False,True,True,True,True,4
MaxAHH,False,False,False,True,True,True,True,4
MaxA,False,False,False,True,True,True,True,4
AHh,False,False,False,True,True,True,True,4
Max>2.5,False,False,False,True,True,True,True,4
Max<2.5,False,False,False,True,True,True,True,4
MaxD,False,False,False,True,True,True,True,4
MaxH,False,False,False,True,True,True,True,4
P<2.5,False,False,False,True,True,True,True,4
AHCh,False,False,False,True,True,True,True,4
PC<2.5,False,False,False,True,True,True,True,4
AvgCAHH,False,False,False,True,True,True,True,4
B365CH,False,False,False,True,True,True,True,4
BWCD,False,False,False,True,True,True,True,4
VCCA,False,False,False,True,True,True,True,4
VCCD,False,False,False,True,True,True,True,4
VCCH,False,False,False,True,True,True,True,4
B365AHA,False,False,False,True,True,True,True,4
B365AHH,False,False,False,True,True,True,True,4
BWCH,False,False,False,True,True,True,True,4
BWCA,False,False,False,True,True,True,True,4
Time,False,False,False,True,True,True,True,4
B365C<2.5,False,False,False,True,True,True,True,4
B365C>2.5,False,False,False,True,True,True,True,4
B365CA,False,False,False,True,True,True,True,4
WHCA,False,False,False,True,True,True,True,4
B365CAHA,False,False,False,True,True,True,True,4
B365CAHH,False,False,False,True,True,True,True,4
MaxCH,False,False,False,True,True,True,True,4
MaxCD,False,False,False,True,True,True,True,4
AvgCD,False,False,False,True,True,True,True,4
PSA,False,False,False,True,True,True,True,4
AvgCH,False,False,False,True,True,True,True,4
AvgD,False,False,False,True,True,True,True,4
AvgH,False,False,False,True,True,True,True,4
B365<2.5,False,False,False,True,True,True,True,4
PCAHA,False,False,False,True,True,True,True,4
PCAHH,False,False,False,True,True,True,True,4
PSCA,False,False,False,True,True,True,True,4
PSCD,False,False,False,True,True,True,True,4
PSCH,False,False,False,True,True,True,True,4
PSD,False,False,False,True,True,True,True,4
PSH,False,False,False,True,True,True,True,4
B365>2.5,False,False,False,True,True,True,True,4
SBD,False,True,True,False,False,False,False,2
SBA,False,True,True,False,False,False,False,2
SBH,False,True,True,False,False,False,False,2
GBA,False,True,True,False,False,False,False,2
LBH,False,True,True,False,False,False,False,2
LBA,False,True,True,False,False,False,False,2
LBD,False,True,True,False,False,False,False,2
GBH,False,True,True,False,False,False,False,2
GBD,False,True,True,False,False,False,False,2
BbAH,False,False,True,False,False,False,False,1
SJH,False,False,True,False,False,False,False,1
BbAvA,False,False,True,False,False,False,False,1
BbAv>2.5,False,False,True,False,False,False,False,1
BbAv<2.5,False,False,True,False,False,False,False,1
BbAHh,False,False,True,False,False,False,False,1
BSH,False,False,True,False,False,False,False,1
Bb1X2,False,False,True,False,False,False,False,1
SJA,False,False,True,False,False,False,False,1
BSD,False,False,True,False,False,False,False,1
BSA,False,False,True,False,False,False,False,1
Attendance,False,True,False,False,False,False,False,1
AO,False,True,False,False,False,False,False,1
AHW,False,True,False,False,False,False,False,1
SJD,False,False,True,False,False,False,False,1
BbAvAHH,False,False,True,False,False,False,False,1
BbAvAHA,False,False,True,False,False,False,False,1
BbAvD,False,False,True,False,False,False,False,1
BbAvH,False,False,True,False,False,False,False,1
BbMx<2.5,False,False,True,False,False,False,False,1
BbMx>2.5,False,False,True,False,False,False,False,1
BbMxA,False,False,True,False,False,False,False,1
BbMxAHA,False,False,True,False,False,False,False,1
BbMxAHH,False,False,True,False,False,False,False,1
BbMxD,False,False,True,False,False,False,False,1
BbMxH,False,False,True,False,False,False,False,1
BbOU,False,False,True,False,False,False,False,1
HBP,False,True,False,False,False,False,False,1
HHW,False,True,False,False,False,False,False,1
HO,False,True,False,False,False,False,False,1
ABP,False,True,False,False,False,False,False,1
